"Timestamp","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")","Is there any information that is incorrect? Please write it down.","Is there any additional information that you think was left out? Please write it down.","Does this statement convey the right amount of information?","How fluent/natural does this description sound? A description is fluent if it could have been produced by a native speaker.","Would you describe the scene differently? If so, how? Please do not use enumeration (i.e. do not write ""There are seven circles and two squares"")"
"2019/04/25 6:35:10 PM GMT+2","correct","all blue objects are further on the left side than the red square","4","5","There are seven circles and two squares","Within the circles, there is a... & there is a red square","the red objects are close to the border of the picture","2","2","I would add what I added before","correct","no","5","5","There are seven circles and two squares","correct","no","4","3","There are seven circles and two squares","correct","no","3","4","There are seven circles and two squares","Within the squares","All squares are blue","4","2","Within the squares","correct","no","5","2","There are seven circles and two squares","correct","no","5","1","There are seven circles and two squares","no","no","5","1","There are more red squares than red circles.","yes","no","4","3","There are more blue circles than other objects.
A few of the red objects are circle"
"2019/04/25 7:12:32 PM GMT+2","No","There are also three blue circles","3","2","","No","No","3","1","The circle objects consist of two colors, red and blue","No","No","4","2","All of the circle objects are red","No","All of the red objects are circles","4","4","","No","Overall, there are more squares than circles","4","3","","Within the squares, all objects are blue.","No","3","2","A couple of the objects are red squares","One third of the objects are squares. Among the squares, there are just blue objects.","There's a mixture of red and blue circles and red squares","1","1","","There is roughly an equal amount of blue circles and the rest of the objects.
Few objects are squares. Within the squares, two thirds of the objects are blue.","Most of the objects are blue squares","1","2","","No","The are only red objects in the scene","2","2","There are only red objects, the majority of them are squares","No","There is an equal number of red circles and red squares","3","3",""
"2019/04/25 7:20:33 PM GMT+2","Most objects are blue squares (only half)","Number of blue squares, number of blue circles. ","1","5","","No","One red square","1","5","","No","no","3","5","","No","no","3","5","","Among the squares, there are more blue than red objects. Among the red objects are more circles than squares","no","2","2","","Within the squares, all objects are blue. ","no","2","1","A pair of red squares","All incorrect","Yes everything","1","1","","'Roughly' equal, 'few' objects are squares, two thirdS are blue","A lot","1","1","","No","No","5","3","","Half of the red objects are circles","There is a pair of blue squares","1","2",""
"2019/04/25 10:29:55 PM GMT+2","No","No","2","4","No","no","there is a red square","2","5","no","no","no","3","5","1/3 of the objects are red circles. 2/3 of the objects are blue squares .","no","no","3","5","no","no","no","4","5","no","within the squares, all objects are blue is incorrect, the squares are red","no","3","5","no","the second line is incorrect. Squares are less than one third, and they are red","no","3","5","no","First line: blue circles and other objects are not equal. Second line: two thirds of the objects are red, not blue ","no","3","4","no","no","no","3","5","all objects are red. There are more squares than circles. ","no","no","3","5","There are more blue circles than other objects. within the red objects, half is a square. "
"2019/04/25 11:07:44 PM GMT+2","No","Number of circles vs. number of squares","3","4","","No","There is only one red square","3","2","","No","No","3","2","","No","No","3","2","","No","No","3","2","","Within the squares, all objects are red.","No","3","2","","Among the squares, there are just red objects.","No","3","1","","Not equal and two thirds of the squares are red","No","3","1","","No","No","3","2","","No","No","3","3",""
"2019/04/26 10:45:34 AM GMT+2","No","3 blue circles","3","4","No","No","No","3","2","A pair of the objects are circles, one of which is blue and the other red.","No","No","3","5","No","No","No","3","5","No","No","No","3","4","No","All squares are red","No","3","3","Within the squares, all objects are red.","Less than 1/3 of the objects are squares and these squares are all red.","No","2","1","There is a mixture of blue circles and red objects.
Among the red objects, some are squares and others are circles.","""roughly"" seems not very accurate.","No","2","2","No","No","No","2","2","There are only red objects. There are more squares than circles.","No","No","2","4","No"
"2019/04/29 1:12:32 AM GMT+2","No","There are 3 circles","2","4","No","No","No","3","4","No","No","No","3","4","All the red objects are circles","No","No","4","4","No","No","No","4","4","No","The 2 squares are red","no","3","4","no","One fourth are squares, the squares are red","no","2","4","no","Within the square, two thirds of the objects are red","no","3","4","no","no","There are only red objects","2","3","no","no","Equal amout of red squares and red circles","2","4","no"
"2019/04/29 7:50:06 AM GMT+2","There are also Blue circles","The Blue circles","2","3","Most objects are blue squares. There are also a few Blue circles.
There is only one red object and it is a square.","No","No","4","4","No","Most objects ","I would left out the word most","3","3","Two third of the objects are blue squares.
One third of the objects are red. Among the red objects, all objects are circles.","No","No","4","4","No","There are more red than blue objects. ","There are more red than blue objects. ","2","2","There are more blue than red squares. ","Blue","Blue","2","2","Red instead of blue","There is a mixture of red circles and the rest of the objects.
One third of the objects are squares. Among the squares, there are just blue objects.","There is a mixture of red circles and the rest of the objects.
One third of the objects are squares. Among the squares, there are just blue objects.","1","1","There is a mixture of red circles, Blue circles and red squares.
One third of the objects are squares","No","No","5","5","No","There are more red squares than other objects.
There are some circles. Within the circles, there are only red objects.","There are more red squares than other objects.
There are some circles. Within the circles, there are only red objects.","1","1","All objects are red. There are more red squares than red circles.","No","No","5","5","No"
"2019/04/29 9:32:07 AM GMT+2","There is nothing incorrect","Could've added that there are blue circles as well","2","3","Most objects are blue squares, fewer objects are blue circles and there is one red objecct and it is a square","Nothing in incorrect","Could've mentioned that there was a red square","2","3","There are more blue squares than other objects.
A pair of the objects are circles. Within the circles, there is a mixture of red and blue objects. Within the red objects, there is a circle and a square.","Nothing is incorrect","Nothing was left out","5","4","","Nothing was incorrect","Nothing was left out","5","4","","Nothing is inccorrect.","Nothing is left out.","5","4","","Nothing is incorrect","Nothing was left out","4","2","","Nothing is incorrect.","Could've mentioned that the blue objects are only circles","2","2","There is a mixture of red circles and the rest of the objects.
One third of the objects are squares. Among the squares, there are just blue circles.","Nothing is incorrect","Nothing is left out","4","3","","Nothing is incorrect","Nothing is left out","4","1","There are more red squares than circles.","Nothing is incorrect","Nothing is left out","4","3",""
"2019/04/29 11:24:11 AM GMT+2","It is correct","No","3","4","","No","No mention of a red square","2","3","","It is correct","No","3","4","","No","No","3","4","","No","No","5","2","","The square are red and not blue","No","4","3","All objects are blue circles except for two red squares","Among the squares everything blue","No","2","1","","Two thirds of the squares are red","No","3","2","","It is correct","No","4","3","Every object is red and there are more squares then circles","It is correct","Any information about the squares is missing","2","4",""
"2019/04/29 1:07:37 PM GMT+2","no","no","3","4","","no","no","3","2","There are 7 squares of which 1 is red. There are 2 circles of which 1 is red.","no","no","3","1","There are 6 blue squares and 3 red circles.","no","nothing about the non-existent red squares","3","4","","no","no","3","2","","The squares are red","no","3","2","","Squares are red.","no","2","2","","no","Missing info on the red circles","2","2","","There is only red","State there is no blue","2","2","","no","missing blue square info","2","2",""
"2019/04/29 1:11:48 PM GMT+2","Nope.","There are twice as many squares as there are circles.","4","5","Nope.","I wouldn't say ""mixture"". ","The number of circles.","3","3","Mention explicitly squares and not other objects.","Nope.","NOpe.","5","5","Nope.","Nope.","Nope.","5","4","Nope.","Nope.","Nope.","5","5","Nope.","Nope.","The squares are red.","4","5","All objects except for two red squares are blue circles.","One fourth of the objects are squares.","Specific numbers, it is hard to count the objects to check the numbers.","3","3","List concrete numbers of objects.","There is not roughly the same number of blue circles and the rest of the objects.","Specific numbers of objects.","2","2","Yes, list the concrete numbers.","Nope.","Numbers of objects.","3","4","Enumeration.","Nope.","The numbers of red circles and squares is the same.","4","4","Enumeration."
"2019/04/29 6:26:08 PM GMT+2","No.","No.","3","4","","Yes: a pair of the objects are circles.","Within the circles, there is a mixture of red and blue objects.","4","2","","No.","All good.","3","5","","All correct.","All correct.","3","5","","There are more squares than circles.","No.","3","4","","All objects except for two are blue circles. Within the squares, all objects are blue.","No.","3","5","","Among the squares, there are just blue objects.","No.","4","4","","There is roughly an equal amount of blue circles and the rest of the objects. ","No.","5","4","","No.","No.","3","5","","No.","All good.","3","4",""
"2019/04/29 7:22:04 PM GMT+2","No","No","3","4","No","No","No","2","2","There are more blue squares than other objects. There are a pair of squares, one is blue and one is red. ","No","No","3","3","No","No","No","3","4","No","No","No","4","2","No","No","No","3","4","No","There are red squares","No","2","2","There are mainly red objects, which are a mix of squares and circles. There are three blue circles ","No","No","4","2","No","No","No","4","2","All the objects are red. They are mainly red squares and some cirlces","Non ","No","4","2","There are mainly blue objects which are mainly circles. There are fewer red objects which are a mix of cirlces and squares. "
"2019/04/29 10:41:34 PM GMT+2","no","circles","3","4","most objects are blue and squares some are circles","no","all red","3","3","","no","n/a","4","4","","no","no","4","4","","no","no","4","4","","yes, red squares","no","3","1","","no","more specific shape","1","1","","no","no","5","2","","no","no","5","3","","no","no","4","4",""
